	model	years	severity	acc	diff	expected	unexpected	macrodiff
0	distilbert/distilgpt2	0	" assaulting and kidnapping govt official family member"""	0.0	0.13414239883422852	6.244317054748535	6.110174655914307	0.13414239883422852
1	distilbert/distilgpt2	0	 destroying	0.0	0.09688758850097656	6.33261775970459	6.235730171203613	0.09688758850097656
2	distilbert/distilgpt2	0	" frightened & emotional distress"""	0.0	0.059813499450683594	6.626121520996094	6.56630802154541	0.059813499450683594
3	distilbert/distilgpt2	0	 interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
4	distilbert/distilgpt2	0	d1	0.3333333333333333	-0.09967179223895133	5.765632927417755	5.865304719656706	-0.09967179223895073
5	distilbert/distilgpt2	0	d2	0.4	-0.059066873788833976	5.35224853605032	5.411315409839153	-0.05906687378883291
6	distilbert/distilgpt2	0	d3	0.125	-0.030100376810878737	5.378431582823396	5.408531959634274	-0.030100376810878515
7	distilbert/distilgpt2	0	d4	0.2	-0.05747862383723294	5.216976211965084	5.274454835802317	-0.057478623837232234
8	distilbert/distilgpt2	0	interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
9	distilbert/distilgpt2	0	m1	0.8	-0.14739617630839366	5.149876646697521	5.2972728230059145	-0.1473961763083933
10	distilbert/distilgpt2	0	m2	0.5	-0.13049161930878928	5.221069791354239	5.351561410663028	-0.13049161930878928
11	distilbert/distilgpt2	0	m3	0.5555555555555556	0.004154930512110195	5.099986176730858	5.095831246218747	0.004154930512110688
12	distilbert/distilgpt2	0	m4	0.16666666666666666	0.04695148517688086	5.632286624982953	5.585335139806072	0.04695148517688086
13	distilbert/distilgpt2	0	m5	0.45	-0.06012704628519727	5.7837214434053745	5.843848489690572	-0.060127046285197494
14	distilbert/distilgpt2	0	m6	0.35714285714285715	0.0055607674377306125	4.993690464579101	4.98812969714137	0.005560767437731151
15	distilbert/distilgpt2	0	m7	0.27586206896551724	-0.0009398953025709462	6.070292853975091	6.071232749277661	-0.0009398953025705481
16	distilbert/distilgpt2	0	m8	0.43209876543209874	-0.06508071704503195	5.325199230102661	5.390279947147693	-0.06508071704503227
17	distilbert/distilgpt2	0	m9	0.475	-0.04050881313160073	5.482057633670047	5.5225664468016475	-0.04050881313160026
18	distilbert/distilgpt2	0	other	0.0	0.07068606785365511	3.7442062411989485	3.673520173345293	0.07068606785365539
19	distilbert/distilgpt2	0	weapon	0.0	0.08301734924316406	6.525770664215088	6.442753314971924	0.08301734924316406
20	distilbert/distilgpt2	10	" assaulting and kidnapping govt official family member"""	0.0	0.13414239883422852	6.244317054748535	6.110174655914307	0.13414239883422852
21	distilbert/distilgpt2	10	 destroying	0.0	0.09688758850097656	6.33261775970459	6.235730171203613	0.09688758850097656
22	distilbert/distilgpt2	10	" frightened & emotional distress"""	0.0	0.059813499450683594	6.626121520996094	6.56630802154541	0.059813499450683594
23	distilbert/distilgpt2	10	 interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
24	distilbert/distilgpt2	10	d1	0.3333333333333333	-0.07230428854624489	5.914784828821818	5.987089117368062	-0.07230428854624371
25	distilbert/distilgpt2	10	d2	0.2	-0.019148015975952504	5.539147853851318	5.558295869827271	-0.019148015975952504
26	distilbert/distilgpt2	10	d3	0.125	0.00895462930202473	5.667782709002495	5.65882807970047	0.008954629302024841
27	distilbert/distilgpt2	10	d4	0.2	-0.01986703872680682	5.523531460762024	5.543398499488831	-0.019867038726806285
28	distilbert/distilgpt2	10	interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
29	distilbert/distilgpt2	10	m1	0.4	-0.12990014553070087	5.385384726524353	5.515284872055053	-0.1299001455307005
30	distilbert/distilgpt2	10	m2	0.3333333333333333	-0.10168530543645223	5.333676397800446	5.4353617032368975	-0.10168530543645193
31	distilbert/distilgpt2	10	m3	0.0	0.03906814919577695	5.180283347765605	5.141215198569828	0.03906814919577695
32	distilbert/distilgpt2	10	m4	0.0	0.07499106725056966	5.8291909495989485	5.754199882348378	0.07499106725057025
33	distilbert/distilgpt2	10	m5	0.225	-0.03503359034657492	5.859049905091524	5.894083495438099	-0.035033590346574606
34	distilbert/distilgpt2	10	m6	0.14285714285714285	0.030442167605672563	5.078516460422959	5.048074292817286	0.030442167605673198
35	distilbert/distilgpt2	10	m7	0.10344827586206896	0.02391972212955891	6.138379177142834	6.114459455013275	0.023919722129559062
36	distilbert/distilgpt2	10	m8	0.25925925925925924	-0.039139696661336924	5.434288974345466	5.473428671006803	-0.0391396966613371
37	distilbert/distilgpt2	10	m9	0.1	-0.0043894916772842405	5.654988196492195	5.65937768816948	-0.004389491677284418
38	distilbert/distilgpt2	10	other	0.0	0.07068606785365511	3.7442062411989485	3.673520173345293	0.07068606785365539
39	distilbert/distilgpt2	10	weapon	0.0	0.08301734924316406	6.525770664215088	6.442753314971924	0.08301734924316406
40	distilbert/distilgpt2	1	" assaulting and kidnapping govt official family member"""	0.0	0.13414239883422852	6.244317054748535	6.110174655914307	0.13414239883422852
41	distilbert/distilgpt2	1	 destroying	0.0	0.09688758850097656	6.33261775970459	6.235730171203613	0.09688758850097656
42	distilbert/distilgpt2	1	" frightened & emotional distress"""	0.0	0.059813499450683594	6.626121520996094	6.56630802154541	0.059813499450683594
43	distilbert/distilgpt2	1	 interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
44	distilbert/distilgpt2	1	d1	0.6666666666666666	-0.10575723648071349	5.709043820699056	5.814801057179769	-0.10575723648071289
45	distilbert/distilgpt2	1	d2	0.8	-0.07475531101226843	5.310417866706848	5.385173177719116	-0.07475531101226807
46	distilbert/distilgpt2	1	d3	0.75	-0.04386216402053855	5.338282689452171	5.38214485347271	-0.04386216402053833
47	distilbert/distilgpt2	1	d4	0.8	-0.0695559978485111	5.2016864776611325	5.271242475509643	-0.06955599784851074
48	distilbert/distilgpt2	1	interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
49	distilbert/distilgpt2	1	m1	1.0	-0.1721718072891237	4.947401654720307	5.11957346200943	-0.17217180728912318
50	distilbert/distilgpt2	1	m2	1.0	-0.159508615732193	5.020856161912282	5.180364777644475	-0.159508615732193
51	distilbert/distilgpt2	1	m3	0.7777777777777778	-0.033471094237433635	4.9663985636499195	4.999869657887353	-0.03347109423743344
52	distilbert/distilgpt2	1	m4	0.5	0.022456963857014973	5.568758765856425	5.54630180199941	0.022456963857015566
53	distilbert/distilgpt2	1	m5	0.775	-0.08375517353415503	5.67154658511281	5.755301758646965	-0.08375517353415507
54	distilbert/distilgpt2	1	m6	0.7142857142857143	-0.018551577414785112	4.858937721699476	4.877489299114261	-0.01855157741478486
55	distilbert/distilgpt2	1	m7	0.6551724137931034	-0.023745481310219387	5.924030573203646	5.947776054513866	-0.02374548131022003
56	distilbert/distilgpt2	1	m8	0.7530864197530864	-0.08537875483801335	5.237891789755704	5.323270544593717	-0.08537875483801294
57	distilbert/distilgpt2	1	m9	0.775	-0.06205887347459793	5.411821980774403	5.473880854249001	-0.06205887347459793
58	distilbert/distilgpt2	1	other	0.0	0.07068606785365511	3.7442062411989485	3.673520173345293	0.07068606785365539
59	distilbert/distilgpt2	1	weapon	0.0	0.08301734924316406	6.525770664215088	6.442753314971924	0.08301734924316406
60	distilbert/distilgpt2	5	" assaulting and kidnapping govt official family member"""	0.0	0.13414239883422852	6.244317054748535	6.110174655914307	0.13414239883422852
61	distilbert/distilgpt2	5	 destroying	0.0	0.09688758850097656	6.33261775970459	6.235730171203613	0.09688758850097656
62	distilbert/distilgpt2	5	" frightened & emotional distress"""	0.0	0.059813499450683594	6.626121520996094	6.56630802154541	0.059813499450683594
63	distilbert/distilgpt2	5	 interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
64	distilbert/distilgpt2	5	d1	0.3333333333333333	-0.09573034445444802	5.835302670796712	5.93103301525116	-0.09573034445444772
65	distilbert/distilgpt2	5	d2	0.2	-0.05144455432891881	5.572700476646423	5.624145030975342	-0.05144455432891881
66	distilbert/distilgpt2	5	d3	0.125	-0.02379046380519889	5.62153422832489	5.645324692130089	-0.02379046380519867
67	distilbert/distilgpt2	5	d4	0.2	-0.04992167949676531	5.482613492012024	5.532535171508789	-0.04992167949676496
68	distilbert/distilgpt2	5	interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
69	distilbert/distilgpt2	5	m1	0.6	-0.14673910140991228	5.389149904251099	5.53588900566101	-0.14673910140991175
