	model	years	type	severity	acc	diff	expected	unexpected	macrodiff
0	distilbert/distilgpt2	0	" (from officer)"""	other	0.0	0.09963178634643555	6.093310832977295	5.993679046630859	0.09963178634643555
1	distilbert/distilgpt2	0	 damaging	 destroying	1.0	-0.08705902099609375	7.236759662628174	7.323818683624268	-0.08705902099609375
2	distilbert/distilgpt2	0	" delay)"""	other	0.0	0.0048046112060546875	9.644174575805664	9.63936996459961	0.0048046112060546875
3	distilbert/distilgpt2	0	 disturbed	" frightened & emotional distress"""	0.0	0.01198577880859375	9.043451309204102	9.031465530395508	0.01198577880859375
4	distilbert/distilgpt2	0	" felony or violent misdemeanor"""	other	0.0	0.06369924545288086	7.032800674438477	6.969101428985596	0.06369924545288086
5	distilbert/distilgpt2	0	 impeding	 interfering	0.0	0.06842708587646484	7.604279041290283	7.535851955413818	0.06842708587646484
6	distilbert/distilgpt2	0	 threatening	" assaulting and kidnapping govt official family member"""	0.0	0.22581052780151367	8.082239151000977	7.856428623199463	0.22581052780151367
7	distilbert/distilgpt2	0	" viol of inoperable pistol emgncy act of 2008"""	weapon	0.0	0.011366844177246094	4.08415412902832	4.072787284851074	0.011366844177246094
8	distilbert/distilgpt2	0	"(from officer)"""	other	0.0	0.09963178634643555	6.093310832977295	5.993679046630859	0.09963178634643555
9	distilbert/distilgpt2	0	"delay)"""	other	0.0	0.0048046112060546875	9.644174575805664	9.63936996459961	0.0048046112060546875
10	distilbert/distilgpt2	0	drug	d1	0.6666666666666666	-0.013128598531087091	8.374022006988525	8.387150605519613	-0.013128598531087832
11	distilbert/distilgpt2	0	drug	d2	0.8	-0.04397411346435538	9.766692066192627	9.810666179656982	-0.04397411346435476
12	distilbert/distilgpt2	0	drug	d3	0.75	-0.0366396009922027	9.522902727127075	9.559542328119278	-0.03663960099220276
13	distilbert/distilgpt2	0	drug	d4	0.8	-0.03990345001220659	9.819699954986572	9.85960340499878	-0.03990345001220774
14	distilbert/distilgpt2	0	"felony or violent misdemeanor"""	other	0.0	0.06369924545288086	7.032800674438477	6.969101428985596	0.06369924545288086
15	distilbert/distilgpt2	0	homicide	m1	0.8	-0.032253456115722653	10.73969783782959	10.771951293945312	-0.032253456115721946
16	distilbert/distilgpt2	0	homicide	m2	0.5	-0.01946544647216797	10.785943031311035	10.805408477783203	-0.01946544647216797
17	distilbert/distilgpt2	0	homicide	m3	1.0	-0.05368614196777344	12.116230964660645	12.169917106628418	-0.05368614196777344
18	distilbert/distilgpt2	0	homicide	m4	1.0	-0.06500053405761808	12.102884769439697	12.167885303497314	-0.06500053405761719
19	distilbert/distilgpt2	0	homicide	m5	1.0	-0.04100608825683594	12.294398307800291	12.335404396057127	-0.04100608825683594
20	distilbert/distilgpt2	0	impeding	interfering	0.0	0.06842708587646484	7.604279041290283	7.535851955413818	0.06842708587646484
21	distilbert/distilgpt2	0	other	m5	0.6923076923076923	-0.09137082099914572	7.634034688656147	7.7254055096552925	-0.09137082099914551
22	distilbert/distilgpt2	0	other	m7	0.6	-0.021897602081298474	9.672494983673095	9.694392585754395	-0.02189760208129954
23	distilbert/distilgpt2	0	other	m8	1.0	-0.07629342512650972	11.683181329206986	11.759474754333496	-0.07629342512650972
24	distilbert/distilgpt2	0	other	m9	0.9545454545454546	-0.0963524580001831	10.623553200201554	10.719905658201737	-0.0963524580001831
25	distilbert/distilgpt2	0	property	m3	1.0	-0.06700563430786133	11.828522205352783	11.895527839660645	-0.06700563430786133
26	distilbert/distilgpt2	0	property	m5	1.0	-0.06700563430786133	11.828522205352783	11.895527839660645	-0.06700563430786133
27	distilbert/distilgpt2	0	property	m6	1.0	-0.07527303695678711	11.980112075805664	12.055385112762451	-0.07527303695678711
28	distilbert/distilgpt2	0	property	m7	1.0	-0.06836255391438861	11.941128730773926	12.009491284688314	-0.06836255391438861
29	distilbert/distilgpt2	0	property	m8	1.0	-0.0764447358938364	11.091397505540113	11.16784224143395	-0.07644473589383693
30	distilbert/distilgpt2	0	property	m9	1.0	-0.07046031951904351	10.268648465474447	10.33910878499349	-0.07046031951904297
31	distilbert/distilgpt2	0	sex	m2	0.75	-0.0520234107971187	11.237566709518433	11.289590120315552	-0.05202341079711914
32	distilbert/distilgpt2	0	sex	m3	1.0	-0.0716133117675799	11.784567832946776	11.856181144714355	-0.0716133117675799
33	distilbert/distilgpt2	0	sex	m4	1.0	-0.05807304382324219	10.60421085357666	10.662283897399902	-0.05807304382324219
34	distilbert/distilgpt2	0	sex	m5	1.0	-0.07778347863091284	11.640942679511177	11.71872615814209	-0.07778347863091284
35	distilbert/distilgpt2	0	sex	m6	1.0	-0.06807354518345424	11.930729457310267	11.998803002493721	-0.06807354518345399
36	distilbert/distilgpt2	0	sex	m7	0.9166666666666666	-0.07530603806177764	9.501003245512644	9.576309283574423	-0.07530603806177893
37	distilbert/distilgpt2	0	sex	m8	0.9	-0.053410172462463955	10.482903790473937	10.5363139629364	-0.05341017246246338
38	distilbert/distilgpt2	0	sex	m9	0.8333333333333334	-0.05720806121826231	11.011177221934	11.068385283152262	-0.05720806121826172
39	distilbert/distilgpt2	0	"viol of inoperable pistol emgncy act of 2008"""	weapon	0.0	0.011366844177246094	4.08415412902832	4.072787284851074	0.011366844177246094
40	distilbert/distilgpt2	0	violent	m3	0.8	-0.06142358779907262	10.19366521835327	10.255088806152344	-0.061423587799072976
41	distilbert/distilgpt2	0	violent	m4	1.0	-0.027533849080404238	10.984906196594238	11.012440045674643	-0.027533849080404238
42	distilbert/distilgpt2	0	violent	m5	0.8461538461538461	-0.05143748796903198	9.822491829211895	9.873929317180927	-0.05143748796903225
43	distilbert/distilgpt2	0	violent	m6	0.7222222222222222	-0.02998582522074411	9.527022732628716	9.55700855784946	-0.029985825220745
44	distilbert/distilgpt2	0	violent	m7	1.0	-0.08332479000091597	10.70224416255951	10.785568952560425	-0.08332479000091553
45	distilbert/distilgpt2	0	violent	m8	0.9375	-0.0444039106369023	10.553550362586975	10.597954273223877	-0.044403910636901855
46	distilbert/distilgpt2	0	violent	m9	1.0	-0.042505264282224786	11.594151496887209	11.636656761169434	-0.042505264282224786
47	distilbert/distilgpt2	0	weapon	m5	1.0	-0.051241397857666016	10.683311462402344	10.73455286026001	-0.051241397857666016
48	distilbert/distilgpt2	0	weapon	m6	0.0	0.043659210205078125	9.36487865447998	9.321219444274902	0.043659210205078125
