	model	years	type	severity	acc	diff	expected	unexpected	macrodiff
0	distilbert/distilgpt2	0	" (from officer)"""	other	0.0	0.49509572982788086	5.570359230041504	5.075263500213623	0.49509572982788086
1	distilbert/distilgpt2	0	 damaging	 destroying	0.0	0.534052848815918	4.883899688720703	4.349846839904785	0.534052848815918
2	distilbert/distilgpt2	0	" delay)"""	other	1.0	-0.11952972412109197	10.091561317443848	10.21109104156494	-0.11952972412109197
3	distilbert/distilgpt2	0	 disturbed	" frightened & emotional distress"""	0.0	0.42621803283691406	4.87845516204834	4.452237129211426	0.42621803283691406
4	distilbert/distilgpt2	0	" felony or violent misdemeanor"""	other	0.0	0.35550975799560547	5.079545021057129	4.724035263061523	0.35550975799560547
5	distilbert/distilgpt2	0	 impeding	 interfering	0.0	0.5639991760253906	5.012683391571045	4.448684215545654	0.5639991760253906
6	distilbert/distilgpt2	0	 threatening	" assaulting and kidnapping govt official family member"""	0.0	0.5273866653442383	5.178767681121826	4.651381015777588	0.5273866653442383
7	distilbert/distilgpt2	0	" viol of inoperable pistol emgncy act of 2008"""	weapon	0.0	0.3081827163696289	7.621842384338379	7.31365966796875	0.3081827163696289
8	distilbert/distilgpt2	0	"(from officer)"""	other	0.0	0.49509572982788086	5.570359230041504	5.075263500213623	0.49509572982788086
9	distilbert/distilgpt2	0	"delay)"""	other	1.0	-0.11952972412109197	10.091561317443848	10.21109104156494	-0.11952972412109197
10	distilbert/distilgpt2	0	drug	d1	0.6666666666666666	-0.007269700368245442	8.346028327941895	8.35329802831014	-0.007269700368246035
11	distilbert/distilgpt2	0	drug	d2	0.8	-0.06161699295043945	8.473226928710938	8.534843921661377	-0.0616169929504391
12	distilbert/distilgpt2	0	drug	d3	0.75	-0.031128287315368652	8.351097226142883	8.382225513458252	-0.031128287315368652
13	distilbert/distilgpt2	0	drug	d4	0.8	-0.054974842071533206	8.514970970153808	8.569945812225342	-0.054974842071533914
14	distilbert/distilgpt2	0	"felony or violent misdemeanor"""	other	0.0	0.35550975799560547	5.079545021057129	4.724035263061523	0.35550975799560547
15	distilbert/distilgpt2	0	homicide	m1	1.0	-0.19307556152343713	9.780423736572265	9.973499298095703	-0.19307556152343786
16	distilbert/distilgpt2	0	homicide	m2	1.0	-0.22527265548706055	10.065503597259521	10.290776252746582	-0.22527265548706055
17	distilbert/distilgpt2	0	homicide	m3	1.0	-0.1100606918334961	9.573227882385254	9.68328857421875	-0.1100606918334961
18	distilbert/distilgpt2	0	homicide	m4	1.0	-0.13361454010009677	9.426677703857422	9.56029224395752	-0.13361454010009766
19	distilbert/distilgpt2	0	homicide	m5	1.0	-0.08633327484131037	9.668816566467283	9.755149841308594	-0.08633327484131037
20	distilbert/distilgpt2	0	impeding	interfering	0.0	0.5639991760253906	5.012683391571045	4.448684215545654	0.5639991760253906
21	distilbert/distilgpt2	0	other	m5	1.0	-0.17844508244441107	8.503905516404371	8.682350598848783	-0.17844508244441215
22	distilbert/distilgpt2	0	other	m7	0.4	0.1337844848632816	6.0783484935760494	5.944564008712769	0.13378448486328054
23	distilbert/distilgpt2	0	other	m8	1.0	-0.1276063919067378	9.18138954856179	9.308995940468527	-0.12760639190673828
24	distilbert/distilgpt2	0	other	m9	0.8181818181818182	-0.0810244191776622	7.878531455993652	7.959555875171315	-0.08102441917766257
25	distilbert/distilgpt2	0	property	m3	1.0	-0.14420270919799805	9.071266651153564	9.215469360351562	-0.14420270919799805
26	distilbert/distilgpt2	0	property	m5	1.0	-0.14420270919799805	9.071266651153564	9.215469360351562	-0.14420270919799805
27	distilbert/distilgpt2	0	property	m6	1.0	-0.13455104827880682	9.285380840301514	9.419931888580322	-0.1345510482788086
28	distilbert/distilgpt2	0	property	m7	1.0	-0.13579114278157434	9.448445955912272	9.584237098693848	-0.1357911427815761
29	distilbert/distilgpt2	0	property	m8	0.8461538461538461	-0.08341237214895371	8.119461096250093	8.202873468399048	-0.08341237214895436
30	distilbert/distilgpt2	0	property	m9	0.8888888888888888	-0.13802030351426886	8.33949319521586	8.47751349873013	-0.13802030351426886
31	distilbert/distilgpt2	0	sex	m2	1.0	-0.2490868568420419	9.626052618026733	9.875139474868774	-0.24908685684204102
