	model	years	type	severity	acc	diff	expected	unexpected	macrodiff
0	distilbert/distilgpt2	0	" (from officer)"""	other	1.0	-0.15278005599975586	3.7122974395751953	3.865077495574951	-0.15278005599975586
1	distilbert/distilgpt2	0	 damaging	 destroying	1.0	-0.10203003883361861	3.728261232376098	3.830291271209717	-0.10203003883361861
2	distilbert/distilgpt2	0	" delay)"""	other	1.0	-0.057352542877197266	2.700882911682129	2.758235454559326	-0.057352542877197266
3	distilbert/distilgpt2	0	 disturbed	" frightened & emotional distress"""	1.0	-0.10979032516479492	3.389862537384033	3.499652862548828	-0.10979032516479492
4	distilbert/distilgpt2	0	" felony or violent misdemeanor"""	other	1.0	-0.1689777374267578	3.570758819580078	3.739736557006836	-0.1689777374267578
5	distilbert/distilgpt2	0	 impeding	 interfering	1.0	-0.15165448188781694	3.664314985275269	3.815969467163086	-0.15165448188781694
6	distilbert/distilgpt2	0	 threatening	" assaulting and kidnapping govt official family member"""	1.0	-0.1457812786102295	3.444507598876953	3.5902888774871826	-0.1457812786102295
7	distilbert/distilgpt2	0	" viol of inoperable pistol emgncy act of 2008"""	weapon	1.0	-0.11434507369995117	3.8033604621887207	3.917705535888672	-0.11434507369995117
8	distilbert/distilgpt2	0	"(from officer)"""	other	1.0	-0.15278005599975586	3.7122974395751953	3.865077495574951	-0.15278005599975586
9	distilbert/distilgpt2	0	"delay)"""	other	1.0	-0.057352542877197266	2.700882911682129	2.758235454559326	-0.057352542877197266
10	distilbert/distilgpt2	0	drug	d1	0.3333333333333333	0.11598952611287494	8.364990711212158	8.249001185099283	0.11598952611287494
11	distilbert/distilgpt2	0	drug	d2	0.2	0.08355989456176864	10.164854717254638	10.081294822692872	0.08355989456176616
12	distilbert/distilgpt2	0	drug	d3	0.5	0.013601362705231601	9.875812292098999	9.862210929393768	0.013601362705230713
13	distilbert/distilgpt2	0	drug	d4	0.4	0.07916574478149485	9.977256298065186	9.89809055328369	0.07916574478149485
14	distilbert/distilgpt2	0	"felony or violent misdemeanor"""	other	1.0	-0.1689777374267578	3.570758819580078	3.739736557006836	-0.1689777374267578
15	distilbert/distilgpt2	0	homicide	m1	0.4	0.15882167816162146	10.186911392211915	10.028089714050292	0.15882167816162251
16	distilbert/distilgpt2	0	homicide	m2	0.5	0.21223735809326172	10.280527591705322	10.06829023361206	0.21223735809326172
17	distilbert/distilgpt2	0	homicide	m3	1.0	-0.13466262817382812	12.110552787780762	12.24521541595459	-0.13466262817382812
18	distilbert/distilgpt2	0	homicide	m4	1.0	-0.0768122673034668	12.411914825439453	12.48872709274292	-0.0768122673034668
19	distilbert/distilgpt2	0	homicide	m5	1.0	-0.09490108489990412	12.328398704528809	12.423299789428713	-0.09490108489990412
20	distilbert/distilgpt2	0	impeding	interfering	1.0	-0.15165448188781694	3.664314985275269	3.815969467163086	-0.15165448188781694
21	distilbert/distilgpt2	0	other	m5	0.38461538461538464	0.24670465175922102	8.475434339963472	8.228729688204252	0.24670465175922018
22	distilbert/distilgpt2	0	other	m7	0.8	-0.04479532241821334	7.697683477401734	7.7424787998199465	-0.04479532241821271
