	model	years	type	severity	acc	diff	expected	unexpected	macrodiff
0	distilbert/distilgpt2	0	" (from officer)"""	other	0.0	0.1960306167602539	5.3953070640563965	5.199276447296143	0.1960306167602539
1	distilbert/distilgpt2	0	 damaging	 destroying	0.0	0.1816110610961914	6.0514068603515625	5.869795799255371	0.1816110610961914
2	distilbert/distilgpt2	0	" delay)"""	other	1.0	-0.04457998275756836	6.310678958892822	6.355258941650391	-0.04457998275756836
3	distilbert/distilgpt2	0	 disturbed	" frightened & emotional distress"""	0.0	0.16133546829223633	6.704634666442871	6.543299198150635	0.16133546829223633
4	distilbert/distilgpt2	0	" felony or violent misdemeanor"""	other	0.0	0.15663957595825195	6.221621513366699	6.064981937408447	0.15663957595825195
5	distilbert/distilgpt2	0	 impeding	 interfering	0.0	0.15769624710083008	6.0870280265808105	5.9293317794799805	0.15769624710083008
6	distilbert/distilgpt2	0	 threatening	" assaulting and kidnapping govt official family member"""	0.0	0.1833639144897461	6.03562593460083	5.852262020111084	0.1833639144897461
7	distilbert/distilgpt2	0	" viol of inoperable pistol emgncy act of 2008"""	weapon	0.0	0.16227054595947266	6.270869255065918	6.108598709106445	0.16227054595947266
8	distilbert/distilgpt2	0	"(from officer)"""	other	0.0	0.1960306167602539	5.3953070640563965	5.199276447296143	0.1960306167602539
9	distilbert/distilgpt2	0	"delay)"""	other	1.0	-0.04457998275756836	6.310678958892822	6.355258941650391	-0.04457998275756836
10	distilbert/distilgpt2	0	drug	d1	0.3333333333333333	0.07444238662719667	10.523605823516846	10.449163436889648	0.07444238662719727
11	distilbert/distilgpt2	0	drug	d2	0.6	0.0297495841979984	10.4440749168396	10.414325332641601	0.029749584197999113
12	distilbert/distilgpt2	0	drug	d3	0.625	0.024037003517151545	9.908558189868927	9.884521186351776	0.02403700351715088
13	distilbert/distilgpt2	0	drug	d4	0.6	0.026970958709716795	10.340314388275146	10.31334342956543	0.02697095870971644
14	distilbert/distilgpt2	0	"felony or violent misdemeanor"""	other	0.0	0.15663957595825195	6.221621513366699	6.064981937408447	0.15663957595825195
15	distilbert/distilgpt2	0	homicide	m1	0.8	-0.025148963928223012	11.720272445678711	11.745421409606934	-0.0251489639282223
16	distilbert/distilgpt2	0	homicide	m2	1.0	-0.06270122528076172	12.324727058410645	12.387428283691406	-0.06270122528076172
17	distilbert/distilgpt2	0	homicide	m3	1.0	-0.06386852264404119	10.912989616394045	10.976858139038086	-0.06386852264404119
18	distilbert/distilgpt2	0	homicide	m4	1.0	-0.05928564071655096	10.76637315750122	10.825658798217773	-0.059285640716552734
19	distilbert/distilgpt2	0	homicide	m5	1.0	-0.057159423828123224	10.981924057006836	11.03908348083496	-0.057159423828123224
20	distilbert/distilgpt2	0	impeding	interfering	0.0	0.15769624710083008	6.0870280265808105	5.9293317794799805	0.15769624710083008
21	distilbert/distilgpt2	0	other	m5	0.6153846153846154	0.004612042353703596	8.838948524915255	8.834336482561552	0.004612042353702606
22	distilbert/distilgpt2	0	other	m7	0.4	0.08974151611328125	8.399317455291747	8.309575939178467	0.08974151611328018
23	distilbert/distilgpt2	0	other	m8	0.9090909090909091	-0.03457303480668517	10.658097874034535	10.69267090884122	-0.0345730348066855
